exchange,market,volume
binance,BTCUSDT,28129198059.01
bitmex,XBTUSD,658140300.0
apollox,BTCUSDT,12724019.56
drift,BTC-PERP,54867420.618707
binance,ETHUSDT,13064059455.17
bitmex,ETHUSD,537423.0
apollox,ETHUSDT,4095746.5
drift,ETH-PERP,37367519.060264
binance,SOLUSDT,8467464598.431
bitmex,SOLUSD,5773796.0
apollox,SOLUSDT,1328739.49
drift,SOL-PERP,139857652.134896
binance,XRPUSDT,1174679913.5419
bitmex,XRPUSD,848727.0
apollox,XRPUSDT,412825.32
drift,XRP-PERP,61676.725983
binance,BNBUSDT,1391654742.302
bitmex,BNBUSD,89216.0
apollox,BNBUSDT,481004.76
drift,BNB-PERP,439368.622302
